model,brier_score,log_loss,n_bins
hierarchical_bayes,0.09062659658338251,0.29169331687650224,10
improved_kalman,0.1429935828804348,0.5332636888756247,9
kalman_diffusion,0.1633860543478261,0.5699560108563833,10
poll_average,0.0917435644365251,0.30655489137807884,10
